Year,Release,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor
2007,Persepolis,"$4,445,756",536,"$88,826",2%,7,Dec 25,May 22,Sony Pictures Classics
2007,Pirates of the Caribbean: At World's End,"$309,420,425","4,362","$114,732,820",37.10%,"4,362",May 25,Oct 4,Walt Disney Studios Motion Pictures
2007,Premonition,"$47,852,604","2,831","$17,558,689",36.70%,"2,831",Mar 16,Apr 29,Sony Pictures Releasing
2007,Pride,"$7,057,600","1,518","$3,533,300",50.10%,"1,518",Mar 23,Apr 26,Lionsgate
2007,Primeval,"$10,597,734","2,444","$6,048,315",57.10%,"2,444",Jan 12,Mar 8,Walt Disney Studios Motion Pictures
2007,Ratatouille,"$206,445,654","3,940","$47,027,395",22.80%,"3,940",Jun 29,Dec 13,Walt Disney Studios Motion Pictures
2007,Redline,"$6,881,022","1,607","$3,962,385",57.60%,"1,607",Apr 13,May 24,Chicago Pictures
2007,Reign Over Me,"$19,661,987","1,747","$7,460,690",37.90%,"1,671",Mar 23,Apr 29,Sony Pictures Releasing
2007,Rendition,"$9,736,045","2,250","$1,670,000",17.20%,"2,250",Oct 19,Nov 15,New Line Cinema
2007,Reno 911!: Miami,"$20,342,161","2,702","$10,273,477",50.50%,"2,702",Feb 23,May 3,Twentieth Century Fox
2007,Rescue Dawn,"$5,490,423",505,"$110,326",2%,6,Jul 4,-,Metro-Goldwyn-Mayer (MGM)
2007,Resident Evil: Extinction,"$50,648,679","2,848","$23,678,580",46.80%,"2,828",Sep 21,Oct 28,Screen Gems
2007,Rush Hour 3,"$140,125,968","3,778","$50,237,000",-,"3,778",Aug 10,Nov 15,New Line Cinema
2007,Saw IV,"$63,300,095","3,183","$31,756,764",50.20%,"3,183",Oct 26,Dec 13,Lionsgate
2007,Sea Monsters: A Prehistoric Adventure,"$23,746,066",252,"$605,722",2.60%,252,Oct 5,Sep 11,National Geographic Entertainment
2007,Shoot 'Em Up,"$12,807,139","2,108","$5,450,000",-,"2,108",Sep 7,Oct 21,New Line Cinema
2007,Shooter,"$47,003,582","2,806","$14,523,571",30.90%,"2,806",Mar 23,Jun 14,Paramount Pictures
2007,Shrek the Third,"$322,719,944","4,172","$121,629,270",37.70%,"4,122",May 18,Aug 9,DreamWorks
2007,Sicko,"$24,540,079","1,117","$68,969",0.30%,1,Jun 22,Oct 18,Lionsgate
2007,Smokin' Aces,"$35,787,686","2,219","$14,638,755",40.90%,"2,218",Jan 26,Mar 15,Universal Pictures
2007,Spider-Man 3,"$336,530,303","4,324","$151,116,516",44.90%,"4,252",May 4,Aug 19,Sony Pictures Releasing
2007,Stardust,"$38,634,938","2,565","$9,169,779",23.70%,"2,540",Aug 10,Oct 25,Paramount Pictures
2007,Stomp the Yard,"$61,356,221","2,169","$21,833,312",35.60%,"2,051",Jan 12,Mar 18,Screen Gems
2007,Sunshine,"$3,675,753",461,"$242,964",6.60%,10,Jul 20,Oct 18,-
2007,Superbad,"$121,463,226","3,069","$33,052,411",27.20%,"2,948",Aug 17,Oct 21,Sony Pictures Releasing
2007,Surf's Up,"$58,867,694","3,531","$17,640,249",30%,"3,528",Jun 8,Aug 26,Sony Pictures Releasing
2007,Sweeney Todd: The Demon Barber of Fleet Street,"$52,898,073","1,507","$9,300,805",17.60%,"1,249",Dec 21,Mar 20,DreamWorks
2007,Sydney White,"$11,892,415","2,106","$5,196,380",43.70%,"2,104",Sep 21,Dec 31,Universal Pictures
2007,Talk to Me,"$4,533,261",193,"$391,000",-,33,Jul 13,Sep 27,Focus Features
2007,The Assassination of Jesse James by the Coward Robert Ford,"$3,909,149",301,"$147,812",3.80%,5,Sep 21,Jan 31,Warner Bros.
2007,The Astronaut Farmer,"$11,003,643","2,155","$4,454,319",40.50%,"2,155",Feb 23,Apr 26,Warner Bros.
2007,The Bourne Ultimatum,"$227,471,070","3,701","$69,283,690",30.50%,"3,660",Aug 3,Nov 29,Universal Pictures
2007,The Brave One,"$36,793,804","2,837","$13,471,488",36.60%,"2,755",Sep 14,Nov 29,Warner Bros.
2007,The Bucket List,"$93,466,502","2,915","$335,837",0.40%,16,Dec 25,Jun 5,Warner Bros.
2007,The Comebacks,"$13,349,927","2,812","$5,554,594",41.60%,"2,812",Oct 19,Dec 27,Fox Atomic
2007,The Condemned,"$7,371,706","2,310","$3,807,595",51.70%,"2,310",Apr 27,May 24,Lionsgate
2007,The Darjeeling Limited,"$11,902,715",698,"$134,938",1.10%,2,Sep 29,Feb 28,-
2007,The Diving Bell and the Butterfly,"$6,003,227",213,"$75,721",1.30%,3,Nov 30,Apr 10,Miramax
2007,The Game Plan,"$90,648,202","3,342","$22,950,971",25.30%,"3,103",Sep 28,Feb 18,Walt Disney Studios Motion Pictures
2007,The Golden Compass,"$70,107,728","3,528","$26,125,000",-,"3,528",Dec 7,Mar 6,New Line Cinema
2007,The Great Debaters,"$30,236,407","1,290","$6,005,180",19.90%,"1,171",Dec 25,Apr 17,-
2007,The Heartbreak Kid,"$36,787,257","3,233","$14,022,105",38.10%,"3,229",Oct 5,Dec 6,DreamWorks
2007,The Hills Have Eyes 2,"$20,804,166","2,465","$9,686,362",46.60%,"2,447",Mar 23,Jun 7,Fox Atomic
2007,The Hitcher,"$16,472,961","2,836","$8,234,000",-,"2,831",Jan 19,Mar 18,Rogue Pictures
2007,The Hoax,"$7,164,995","1,069","$1,501,000",-,235,Apr 6,May 31,Miramax
2007,The Invasion,"$15,074,191","2,776","$5,951,409",39.50%,"2,776",Aug 17,Oct 11,Warner Bros.
2007,The Invisible,"$20,578,909","2,019","$7,717,309",37.50%,"2,019",Apr 27,Jul 26,Walt Disney Studios Motion Pictures
2007,The Jane Austen Book Club,"$3,575,227","1,232","$148,549",4.20%,25,Sep 21,Dec 20,Sony Pictures Classics
2007,The Kingdom,"$47,536,778","2,836","$17,135,055",36%,"2,793",Sep 28,Dec 31,Universal Pictures
2007,The Kite Runner,"$15,800,078",715,"$471,713",3%,35,Dec 14,Apr 17,Paramount Vantage
2007,The Last Legion,"$5,933,494","2,002","$2,746,312",46.30%,"2,002",Aug 17,Nov 1,The Weinstein Company
2007,The Last Mimzy,"$21,471,047","3,017","$10,200,000",-,"3,017",Mar 23,Jun 14,New Line Cinema
2007,The Lives of Others,"$11,286,112",259,"$223,000",-,9,Feb 9,Sep 13,Sony Pictures Classics
2007,The Lookout,"$4,600,585",955,"$2,007,000",-,955,Mar 30,May 3,Miramax
2007,The Messengers,"$35,374,833","2,529","$14,713,321",41.60%,"2,528",Feb 2,Mar 18,Screen Gems
2007,The Mist,"$25,594,957","2,423","$8,931,973",34.90%,"2,423",Nov 21,Mar 20,-
2007,The Namesake,"$13,569,248",335,"$248,552",1.80%,6,Mar 9,Aug 5,-
2007,The Nanny Diaries,"$25,930,652","2,636","$7,480,927",28.80%,"2,629",Aug 24,Nov 29,-
2007,The Nightmare Before Christmas2008 3D Release,"$14,486,897",564,"$5,330,101",36.80%,564,Oct 19,Dec 13,Walt Disney Studios Motion Pictures
2007,The Number 23,"$35,193,167","2,759","$15,107,000",-,"2,759",Feb 23,Mar 29,New Line Cinema
2007,The Orphanage,"$7,161,284",707,"$233,323",3.30%,19,Dec 28,Apr 10,Picturehouse
2007,The Perfect Holiday,"$5,812,781","1,307","$2,283,360",39.30%,"1,307",Dec 12,Feb 7,Yari Film Group Releasing
2007,The Reaping,"$25,126,214","2,603","$10,025,203",39.90%,"2,603",Apr 5,Jun 7,Warner Bros.
2007,The Savages,"$6,623,082",201,"$151,859",2.30%,4,Nov 28,Apr 27,-
2007,The Seeker: The Dark Is Rising,"$8,794,452","3,173","$3,745,315",42.60%,"3,141",Oct 5,Dec 20,Twentieth Century Fox
2007,The Simpsons Movie,"$183,135,014","3,926","$74,036,787",40.40%,"3,922",Jul 27,Dec 20,Twentieth Century Fox
2007,The Ultimate Gift,"$3,438,735",816,"$1,200,000",-,816,Mar 9,May 20,The Bigger Picture
2007,The Water Horse,"$40,946,255","2,777","$9,186,054",22.40%,"2,772",Dec 25,Feb 10,Revolution Studios
2007,There Will Be Blood,"$40,222,514","1,620","$190,739",0.50%,2,Dec 26,May 1,Paramount Vantage
2007,Things We Lost in the Fire,"$3,287,315","1,142","$1,561,949",47.50%,"1,142",Oct 19,Nov 8,DreamWorks
2007,This Christmas,"$49,121,934","1,921","$17,958,183",36.60%,"1,858",Nov 21,Jan 6,Screen Gems
2007,TMNT,"$54,149,098","3,120","$24,255,205",44.80%,"3,110",Mar 23,Jun 21,Warner Bros.
2007,Transformers,"$319,246,193","4,050","$70,502,384",22.10%,"4,011",Jul 3,Nov 8,DreamWorks
2007,Two Days in Paris,"$4,433,994",148,"$173,641",3.90%,10,Aug 10,Dec 6,The Samuel Goldwyn Company
2007,Underdog,"$43,760,605","3,013","$11,585,121",26.50%,"3,013",Aug 3,Dec 13,Walt Disney Studios Motion Pictures
2007,Vacancy,"$19,363,565","2,551","$7,603,376",39.30%,"2,551",Apr 20,-,Screen Gems
2007,Waitress,"$19,074,800",707,"$92,034",0.50%,4,May 2,Oct 25,-
2007,Walk Hard: The Dewey Cox Story,"$18,317,151","2,650","$4,174,383",22.80%,"2,650",Dec 21,Jan 13,Sony Pictures Releasing
2007,War,"$22,486,409","2,277","$9,820,089",43.70%,"2,277",Aug 24,Oct 4,Lionsgate
2007,We Own the Night,"$28,563,179","2,402","$10,826,287",37.90%,"2,362",Oct 12,Nov 11,Sony Pictures Releasing
2007,Who's Your Caddy?,"$5,713,425","1,019","$2,756,661",48.20%,"1,019",Jul 27,-,-
2007,Why Did I Get Married?,"$55,204,525","2,034","$21,353,789",38.70%,"2,011",Oct 12,Dec 13,Lionsgate
2007,Wild Hogs,"$168,273,550","3,401","$39,699,023",23.60%,"3,287",Mar 2,Aug 2,Walt Disney Studios Motion Pictures
2007,Zodiac,"$33,080,084","2,379","$13,395,610",40.50%,"2,362",Mar 2,May 3,Paramount Pictures
